country,theta,theta_lo,theta_hi,lambda,lambda_lo,lambda_hi,delta,delta1,rho,rho_lo,rho_hi,rho1,rho1_lo,rho1_hi,sigma,sigma_lo,sigma_hi,sigma1,sigma1_lo,sigma1_hi,R2
UAE,1.0240114092644477,0.9716501952846415,1.118866201751629,-0.004598661390378311,-0.008337259371742938,0.0023344868223201766,0.1513634900088977,0.9842237344792999,4.999994444602442,-0.49999999999999994,4.999999999999999,4.999999999999999,1.2156650777319191,4.999999999999999,0.16666682098340838,0.16666666666666669,2.0,0.16666666666666669,0.16666666666666669,0.45133175137808146,0.9831614053909703
Egypt,0.9973811917545873,0.9821300551812646,1.0148495011639311,0.004320736672075245,0.0006772586774655175,0.006569681323262045,0.7573202267785015,0.9989999999999999,-0.49999999999999806,-0.49999999999999994,4.999999999999999,-0.49999999999999994,-0.49999999999999994,1.7736148572756696,1.999999999999992,0.16666666666666669,2.0,2.0,0.36054032425476373,2.0,0.9992716648813271
Jordan,1.0313411123080396,0.9047755618287376,1.1592943943138205,0.00894954224047904,0.00554168047307797,0.011842052590525365,0.45562252320264673,0.7863738217876068,-0.49999999999999994,-0.49999999999999994,2.583790460883631,-0.4999999999999976,-0.49999999999999994,4.999999999999999,2.0,0.2790341709189763,2.0,1.9999999999999902,0.16666666666666669,2.0,0.9733162296598492
Tunisia,1.0668491293686215,1.0042381443457409,1.1219962605306628,0.009224623254829877,0.004778325914638593,0.01566732236601665,0.8471306012044966,0.8621198903233308,2.7589595725951526,-0.49999999999999994,4.999999999999999,4.9999999998978435,-0.4999999999999999,4.999999999999999,0.26603106010783956,0.16666666666666669,2.0,0.16666666666950436,0.16666666666666669,1.9999999999999996,0.9837282428596358
Morocco,0.9103557982243021,0.8510394340029304,0.9507520639038175,0.0025172859358950214,-0.00047249267781881857,0.011814586689691405,0.9912582638242796,0.9927662417181575,-0.4999999999999918,-0.49999999999999994,4.513068939311781,4.999999999999999,1.1404950585491636,4.999999999999999,1.9999999999999671,0.1813871749125695,2.0,0.16666666666666669,0.16666666666666669,0.46718164380057214,0.9927542817885836
