country,year,PES,PES_AES,Re_M1_annual,A_lambda,B,C,valid
UAE,1991,-4.80458927109288,,,-0.004598661390378311,,,False
UAE,1992,-2.2507929221042495,,,-0.004598661390378311,,,False
UAE,1993,1.4965161387783878,-0.0021700101794349044,-0.1450041281349824,-0.004598661390378311,0.012453910293818678,25.318804801483637,True
UAE,1994,4.389418032355304,-0.01339008401135983,-0.30505374317640205,-0.004598661390378311,0.07920933486331352,8.374686514028618,True
UAE,1995,2.288101242315442,-0.013093932647952902,-0.5722619439121718,-0.004598661390378311,0.0759431274643016,16.38607562751856,True
UAE,1996,-0.35682035483639696,,,-0.004598661390378311,,,False
UAE,1997,1.769411935073368,-0.01528378909977485,-0.8637778912201762,-0.004598661390378311,0.07962076570263632,23.59088868600244,True
UAE,1998,-0.9626339970957808,,,-0.004598661390378311,,,False
UAE,1999,1.1011444748058605,-0.008536138161934643,-0.7752060113128774,-0.004598661390378311,0.042008968119585266,40.12764614727895,True
UAE,2000,3.488466791257528,-0.023077695663490484,-0.661542650236077,-0.004598661390378311,0.10886737921256408,13.213827953163124,True
UAE,2001,3.405119547751471,-0.0027036113017174686,-0.07939842533583777,-0.004598661390378311,0.013569825069749762,12.723488674166855,True
UAE,2002,-3.901738498013295,,,-0.004598661390378311,,,False
UAE,2003,1.9970098367846938,-0.018796923282420105,-0.9412534147895979,-0.004598661390378311,0.08088728423974674,25.304332041429088,True
UAE,2004,2.3002545784963098,-0.021307500008568993,-0.9263105139648428,-0.004598661390378311,0.08731252100720643,23.07005515654281,True
UAE,2005,5.533473653787729,-0.010670070954498415,-0.1928277176705201,-0.004598661390378311,0.046303249682406275,9.055794449423123,True
UAE,2006,2.98745727971445,-0.02143847149834825,-0.71761600220765,-0.004598661390378311,0.08956224358577154,17.423512748933867,True
UAE,2007,-12.89145918141754,,,-0.004598661390378311,,,False
UAE,2008,-5.38456247424866,,,-0.004598661390378311,,,False
UAE,2009,8.692251609316992,0.012485312331252711,0.14363726330551727,-0.004598661390378311,-0.04299744610322453,7.264287575699038,True
UAE,2010,-3.574483064727071,,,-0.004598661390378311,,,False
UAE,2011,-4.473404804094969,,,-0.004598661390378311,,,False
UAE,2012,1.6072606136480856,-0.00634827551052829,-0.3949748694531417,-0.004598661390378311,0.01791806667457555,47.934354482271154,True
UAE,2013,-0.8300495255722353,,,-0.004598661390378311,,,False
UAE,2014,4.459204260807686,-0.014843909120626981,-0.33288246629766033,-0.004598661390378311,0.03999103120914087,18.10076311359199,True
UAE,2015,-0.053058235077023314,,,-0.004598661390378311,,,False
UAE,2016,1.6375693781489977,-0.021661048012149277,-1.3227560493732193,-0.004598661390378311,0.05268490785037343,54.596160134025965,True
UAE,2017,7.290186380808593,-0.002777544020583983,-0.03809976694005882,-0.004598661390378311,0.00729702894430992,11.353893532529868,True
UAE,2018,9.136548069316607,-0.0044563744600605104,-0.04877525326032501,-0.004598661390378311,0.012968685073495152,8.178471719635915,True
UAE,2019,1.2061896792276987,-0.00374775942615306,-0.3107106196226685,-0.004598661390378311,0.010961967412346414,61.6362428565976,True
UAE,2020,-4.298317148338386,,,-0.004598661390378311,,,False
