country,year,y,k,l,u,EI
Egypt,2014,2.671481968002481,2.653492371547663,1.885073567866648,2.7490105222511825,6.429335428004309e-05
Egypt,2015,2.7879187388370448,2.7322546260720455,1.9219100219076888,2.7443446922161083,6.150359139334812e-05
Egypt,2016,2.908888420332028,2.8317457387956844,1.9643292911997963,2.8873443382565886,6.201738446190822e-05
Egypt,2017,3.030778656894324,2.9729996361946966,2.016251145999083,2.9842327122952663,6.152057635946097e-05
Egypt,2018,3.1922741228527607,3.135835368766078,2.0169611935194074,2.998487627505872,5.868728421969156e-05
Egypt,2019,3.369376804575684,3.3284302840823115,2.024835673817852,2.893908678443865,5.366327449859247e-05
Egypt,2020,3.4898317995356263,3.447651270229935,2.0338541360156994,2.719084853750362,4.868107883195311e-05
Egypt,2021,3.6032985676987455,3.560225714098814,2.1115248366731554,2.935740258068668,5.0904867156494566e-05
Egypt,2022,3.843081675576088,3.7554688041885114,2.168527321321299,3.048202850983042,4.955713369927859e-05
Egypt,2023,3.987543228768364,3.8650714884250874,2.225921546115152,3.0348165947311228,4.755202050377353e-05
Jordan,1990,1.0,1.0,1.0,1.0,0.00011236223427850002
Jordan,1991,1.0160852409407308,1.0001596575538645,1.0956202974664941,0.9972669298511994,0.00011028124009201822
Jordan,1992,1.1618912503838674,1.020121341829329,1.1748015833402499,1.1597327664743395,0.00011215349522942928
Jordan,1993,1.2139468599651961,1.0475968509975255,1.290531587469881,1.2359550561797754,0.00011439930046373703
Jordan,1994,1.2744832719145596,1.0740320277856354,1.4516706264183554,1.3094442757364106,0.00011544450031416259
Jordan,1995,1.3533269568703723,1.0981267438724236,1.593418265716321,1.4494382022471908,0.00012034203118936795
Jordan,1996,1.3815188137646297,1.117844295145314,1.6867853926669036,1.4694807166717279,0.00011951638653727189
Jordan,1997,1.427296459676869,1.1316162993550942,1.7367064603322595,1.4488308533252352,0.00011405750407879853
Jordan,1998,1.4702881350871806,1.1381385558165,1.7743193728005529,1.4722137868205283,0.000112509396270791
Jordan,1999,1.5201254446463301,1.1502361918927169,1.8121079434265137,1.4705873425849834,0.00010870055500779725
Jordan,2000,1.5846648731531716,1.1581494217190869,1.8488958054653344,1.6610993015487396,0.00011778189322079545
Jordan,2001,1.6681753452673422,1.1642564014691001,1.8394960800034474,1.5715153355602793,0.00010585156698751059
Jordan,2002,1.764659200446992,1.1726529895798647,1.8512618490446682,1.6043121773458853,0.0001021523593230509
Jordan,2003,1.8380990196454772,1.1898070399061393,1.8691150576694717,1.655025812329183,0.00010117104469038014
Jordan,2004,1.9955727300644897,1.2261643750221238,1.9463585871269637,1.9538414819313696,0.00011001252473956663
Jordan,2005,2.158143878808817,1.2898012237349488,2.026580074025106,2.044640145763741,0.0001064527427153451
Jordan,2006,2.332801783703552,1.3417298170245073,2.117654538022551,2.1658062556938957,0.00010431869162829974
Jordan,2007,2.523534533132016,1.402561433438724,2.372494594527383,2.279684178560583,0.00010150461758670684
Jordan,2008,2.7057448945644387,1.493246506355446,2.438670959520857,2.227452171272396,9.250003694563081e-05
Jordan,2009,2.841673384345037,1.5926340123634883,2.542415052730723,2.412557884769754,9.539463463758397e-05
Jordan,2010,2.907449318848739,1.6966458443561263,2.590555195365848,2.2954752505314304,8.871168491523057e-05
Jordan,2011,2.9870298158289827,1.7910317563991196,2.6328478302977603,2.208928029152748,8.309260503552224e-05
Jordan,2012,3.059602334766438,1.8537841711804646,2.6353788489364276,2.438202247191011,8.954165350320114e-05
Jordan,2013,3.1394582032449585,1.9172249199023426,2.5713828867973416,2.429699362283632,8.695973359003627e-05
Jordan,2014,3.2456937549049716,1.9886142966917681,2.6802159877295013,2.5244457941087157,8.73934484152595e-05
Jordan,2015,3.3267236176510733,2.063569393657366,3.004617200068507,2.642271484968114,8.924442236383197e-05
Jordan,2016,3.393066556198178,2.12888384751106,3.2245293044392236,2.9483753416337684,9.763617523872015e-05
Jordan,2017,3.476995417050534,2.184110951244718,3.3177058869475933,2.963255390221682,9.576026322909516e-05
Jordan,2018,3.543722222933088,2.231860568103136,3.3231465612507574,2.7831764348618275,8.824730126660663e-05
Jordan,2019,3.6057885061589383,2.2865897992293207,3.477558313079229,2.324020649863346,7.242026321898394e-05
Jordan,2020,3.566021183079128,2.3297205199218483,3.5367073009694963,2.4190707561494076,7.622282120153536e-05
Jordan,2021,3.696382263623025,2.3805500970214624,3.518580710107301,2.3167324627998784,7.042378660549547e-05
Jordan,2022,3.7861328458218173,2.433281154863964,3.7029237013117733,1.0534467051320984,3.1263463354855924e-05
Jordan,2023,3.8851586225133925,2.4921174173234397,3.8381111301421953,1.6850895839659883,4.8734285780938876e-05
Tunisia,1990,1.0,1.0,1.0,1.0,9.087805366554974e-05
Tunisia,1991,1.0390358111818,1.0245320274627638,1.0283367867929991,0.987029831387808,8.632941138413278e-05
Tunisia,1992,1.120140293363691,1.0595329263240103,1.0575950097070093,1.0293990488543017,8.351612968418859e-05
Tunisia,1993,1.1446418287096456,1.095811879016061,1.0912745923758602,1.1392131431041934,9.044704689171742e-05
Tunisia,1994,1.1810706788634873,1.1311951420030588,1.1259068089003237,1.2088197146562905,9.301321662325883e-05
Tunisia,1995,1.2088083543692802,1.1598185352305648,1.1538494748171222,1.1108949416342413,8.351693612781167e-05
Tunisia,1996,1.2952575210464985,1.18922344267261,1.1793352928731953,1.1850410722006053,8.314503054830059e-05
Tunisia,1997,1.365711156975167,1.2241979635919424,1.2046176428756432,1.3670557717250322,9.096752790816221e-05
Tunisia,1998,1.4334909158857563,1.2626421508063297,1.2255214906172536,1.458063121487246,9.243584115801758e-05
Tunisia,1999,1.5197456271513166,1.3065157074842497,1.2446503238156768,1.4561262888571465,8.707373172089533e-05
Tunisia,2000,1.5850843337158749,1.3525117215528981,1.2711652469421448,1.5985732814526588,9.165141902551233e-05
Tunisia,2001,1.6452586913089404,1.4042076917150366,1.316037673417911,1.636619109381755,9.040083485845624e-05
Tunisia,2002,1.6670182058303626,1.4514576249579578,1.3670894572455508,1.7040639861651534,9.289761674024953e-05
Tunisia,2003,1.7454079861011191,1.4949408499792844,1.4258536992214843,1.6956333765672287,8.828644203524715e-05
Tunisia,2004,1.8542479183717007,1.538488279375358,1.4122160874847483,1.6781236489407694,8.224607373958312e-05
Tunisia,2005,1.9188970525885245,1.5836012125498977,1.429684192790651,1.8374405533938607,8.702031252449446e-05
Tunisia,2006,2.019525963135582,1.63804899768462,1.4632346777631113,1.7036316472114137,7.666290559653163e-05
Tunisia,2007,2.155026545772801,1.6983602666817663,1.483750497115414,1.5220492866407263,6.418523104704736e-05
Tunisia,2008,2.24635183153746,1.7633915628334953,1.5069582502881804,1.5745784695201035,6.370089700317762e-05
Tunisia,2009,2.3147184866549795,1.830553825389473,1.5144929758878252,1.5451767094267617,6.0665110133962276e-05
Tunisia,2010,2.3959921005366707,1.9017475038422065,1.5420048609641945,1.9122351923908343,7.252954314679193e-05
Tunisia,2011,2.3777587210451174,1.9523222954409942,1.4833514392239722,1.8437094682230868,7.046666531548413e-05
Tunisia,2012,2.5041625659519626,2.0142533711938024,1.502487730466696,1.9641158668396022,7.127932889778339e-05
Tunisia,2013,2.6051868333580814,2.0776186024981844,1.5544906775496674,2.0043233895373973,6.991782939525545e-05
Tunisia,2014,2.711635439844098,2.1377921801856328,1.5783612512791565,2.116731517509727,7.094037702017544e-05
Tunisia,2015,2.7756012942718913,2.2004564234852486,1.5741634227675343,2.131863380890618,6.980094552341696e-05
Tunisia,2016,2.9451228257578985,2.268219112977112,1.590897383402929,2.07998270644185,6.418230790452489e-05
Tunisia,2017,3.0112195554307277,2.3348708347218494,1.6598298809591034,2.182014699524427,6.585280326197757e-05
Tunisia,2018,3.0892475903145242,2.402892198224741,1.731579628488547,2.2116299178555985,6.50607037756897e-05
Tunisia,2019,3.1356875944123614,2.4686820342545035,1.748120625358062,2.245352356247298,6.507448391629421e-05
Tunisia,2020,2.8653331813910623,2.4910478989389104,1.7363818737170287,2.103329009943796,6.671002446884103e-05
Tunisia,2021,2.9892152450280154,2.5211028176592665,1.720721976503585,2.230562105379161,6.781349822638456e-05
Tunisia,2022,3.0670532753343593,2.555370471619036,1.7041927444363496,2.1887325807370295,6.485304918939588e-05
Tunisia,2023,3.0800469486270137,2.579067455436749,1.6937670287634683,2.112355825743567,6.23259285635997e-05
Morocco,1990,1.0,1.0,1.0,1.0,7.543174120345745e-05
Morocco,1991,1.0694919675444228,1.0433547182805052,1.0278052754994875,1.0350072112232858,7.2999516097314e-05
Morocco,1992,1.0263718563797746,1.0835392993711375,1.0483246080907997,1.0475940736855907,7.69914379095054e-05
Morocco,1993,1.0159795318338922,1.119121586110658,1.0575257766459245,1.1351776583191293,8.428164609547987e-05
Morocco,1994,1.1212149145078705,1.1507807318001413,1.0902189630178616,1.24373934705651,8.367479181536096e-05
Morocco,1995,1.0474450953018657,1.188522626361478,1.1005950866602658,1.232856955552642,8.878417325094108e-05
Morocco,1996,1.1754140935683177,1.2252706645644176,1.133712575940023,1.3148026747082733,8.43769490555659e-05
Morocco,1997,1.149227290105178,1.2675879410645354,1.1552710476043686,1.3559722040120625,8.900184084800029e-05
Morocco,1998,1.2374294596825712,1.3211656608492361,1.1888276183330615,1.4060574275599844,8.571103521336158e-05
Morocco,1999,1.2439806419968593,1.3817896301129053,1.219168329659666,1.4880097442701192,9.022902941466345e-05
Morocco,2000,1.2637918123008653,1.440866452817195,1.2237863184174709,1.3520388094925921,8.069892571071382e-05
Morocco,2001,1.3592327574723517,1.496993602638685,1.2271950316743228,1.6775927625540843,9.309939185478096e-05
Morocco,2002,1.4043054666563233,1.5590025190742856,1.2484645278982827,1.5504130064245443,8.327985287812883e-05
Morocco,2003,1.493014967110804,1.6278064118595843,1.3079284918914011,1.6006293431231153,8.086875284764802e-05
Morocco,2004,1.5647074804029348,1.7041622718787945,1.3328667304138824,1.6720860102268258,8.060826753437119e-05
Morocco,2005,1.6113125359095377,1.7864877942695592,1.3488348830241876,1.740920414317556,8.14991848086698e-05
Morocco,2006,1.7363480397989715,1.8794532340201888,1.3393429069781173,1.8501376688081816,8.037507609388295e-05
Morocco,2007,1.7833304641760734,1.9926009895068777,1.357018042155974,1.9573882260390718,8.279407830869428e-05
